index,word,meaning
618,adolescent,"[명] 청소년
[형] 청소년의"
619,arctic,[형] 북극의
620,capture,"[동] 붇잡다, 점유하다"
621,dilute,"[형] 묽은
[동] 묽게 하다, 약화시키다"
622,associate,"[동] 연상하다, 어울리다
[명] 동료"
623,figure,"[명] 숫자, 인물
[동] 이해하다, 계산하다"
624,warehouse,[명] 창고
625,crew,"[명] 승무원, (특별한 기술의)팀
[동] 승무원으로 일하다"
626,barrier,"[명] 장벽, 장애물"
627,pedestrian,"[명] 보행자
[형] 보행자의"
628,glance,"[동] 흘꿋 보다
[명] 흘끗 봄"
629,errand,[명] 심부름
630,irritate,"[동] 짜증나게 하다, 자극하다"
631,welfare,"[명] 복지, 행복"
632,cruel,"[형] 잔인한, 비참한"
633,fold,"[동] 주름
[동] 접다"
634,trial,"[명] 재판, 시험"
635,tribe,[명] 부족
636,profound,"[형] 깊은, 심오한"
637,tradition,[명] 전통
638,distinguish,[동] 구별하다
639,statement,"[명] 진술, 성명, 진술서"
640,prevail,"[동] 만연하다, 우세하다"
641,widespread,[형] 널리 퍼진
642,result,[명] 결과
643,fade,"[동] 사라지다, (색깔이) 바래다"
644,progress,"[명] 진전, 진보[동] 진보하다"
645,weapon,[명] 무기
646,drastic,"[형] 과감한, 격렬한"
647,reinforcement,"[명] 병력 증강, 강화"
648,wonder,"[동] 궁금해하다, 놀라다[명] 놀라움"
649,pile,[명] 더미[동] 쌓다
650,protect,[동] 보호하다
651,infection,[명] 감염
652,stiffen,[동] 굳어지다
653,endanger,[동] 위험에 빠뜨리다
654,adjust,"[동] 조절하다, 적응하다"
655,peer,"[명] 동료, 또래[동] 자세히 들여다보다"
656,renew,"[동] 새롭게 하다, 연장하다"
657,germ,"[명] 세균, 싹, 근원"
658,atom,[명] 원자
659,realize,"[동] 깨닫다, 실현하다"
660,enrich,[동] 부유하게 하다
661,noble,"[형] 고결한, 귀족의"
662,repair,[동] 수리하다[명] 수리
663,candidate,[명] 후보자
664,ideal,[형] 이상적인[명] 이상
665,crop,[명] 농작물
666,ethnic,[형] 민족의
667,foretell,[동] 예언하다
668,wholesale,"[형] 도매의, 대량의"
669,debt,[명] 부채
670,representative,[명] 대표자
671,shift,[동] 바꾸다[명] 변화
672,strict,"[형] 엄격한, 엄밀한"
673,appliance,[명] 가전제품
674,furthermore,"[부] 더욱이, 게다가"
675,excess,"[명] 초과, 과다"
676,command,"[동] 명령하다, 지휘하다[동] 명령, 지휘"
677,ecosystem,[명] 생태계
678,fame,[명] 명성
679,oral,[형] 입의[명] 구술시험
680,drift,"[명] 표류, 일반적인 경향[동] 떠돌다, 방황하다"
681,outstanding,"[형] 뛰어난, 눈에 띄는"
682,mislead,[동] 잘못 판단하게 하다
683,dedicate,"[동] (시간, 노력을) 바치다"
684,avoid,"[동] 피하다, 방지하다"
685,initial,"[형] 초기의, 처음의
[명] 머리글자 (이니셜)"
686,sink,[동] 가라앉다
687,beard,[명] 턱수염
688,haste,[명] 서두름
689,crush,"[동] 으스러뜨리다, 빻다"
690,confront,"[동] 맞서다, 직면하다"
691,destiny,[명] 운명
692,hardship,"[명] 고난, 고통"
693,escape,"[동] 탈출하다, 벗어나다
[명] 탈출, 도피"
694,valid,"[형] 타당한, 유효한"
695,entire,"[형] 전체의, 완전한
[명] 전부, 전체"
696,dispose,"[동] 배치하다, 처리하다"
697,optimal,[형] 최적의
698,hydrogen,[명] 수소
699,thread,"[명] 실
[동] 실을 꿰다"
700,dynasty,[명] 왕조
701,scatter,"[동] 뿌리다, 흩어지다"
702,gamble,"[동] 돈을 걸다, 도박을 하다
[명] 도박"
703,temper,"[명] 성질, 기분"
704,exist,"[동] 존재하다, 살아가다"
705,undoubtedly,"[부] 의심할 여지없이, 확실히"
706,raft,"[명] 뗏목, 비닐보트"
707,minimal,"[형] 최소의, 아주 적은"
708,soak,[동] 흠뻑 적시다
709,craft,"[명] 공예, 기술
[동] 공들여 만들다"
710,combat,"[명] 전투
[동] 싸우다"
711,cease,[동] 중단하다
712,ceiling,"[명] 천장, 최고 한도"
713,unify,"[동] 통합하다, 통일하다"
714,perspective,"[명] 견해, 관점"
715,doom,"[명] 나쁜 운명
[동] 운명 짓다"
716,bump,[동] 부딫치다
717,primary,"[형] 주된, 초기의"
718,genre,"[명] 형식, 장르"
719,erase,[동] 지우다
720,review,"[동] 복습하다, 재검토하다
[명] 복습, 검토, 비평"
721,vital,"[형] 필수적인, 중요한, 생명 유지와 관련된"
722,incident,"[명] 사건, 일어난 일[형] 일어나기 쉬운"
723,session,"[명] 시간, 회의, 기간, 학기"
724,obvious,"[형] 분명한, 명백한"
725,moderate,"[형] 온건한, 적당한"
726,budget,"[명] 예산, 예산안"
727,graze,"[동] 풀을 뜯다, 방목하다"
728,fragile,[형] 부서지기 쉬운
729,myth,"[명] 신화, 사회적 통념"
730,fur,"[명] 부드러운 털, 모피"
731,indifferent,[형] 무관심한
732,strain,"[명] 긴장, 압박[동] 잡아당기다, 긴장시키다, 혹사하다"
733,ingredient,"[명] 재료, 성분"
734,dismiss,"[동] 묵살하다, 해고하다, 해산시키다"
735,geometry,[명] 기하학
736,glacier,[명] 빙하
737,urge,"[동] 촉구하다, 강요하다"
738,celebrity,"[명] 유명 인사, 명성"
739,antique,"[형] 고대의, 옛날의, 고풍의[명] 골동품"
740,profit,"[명] 이익, 이윤[동] 이익을 얻다"
741,sphere,"[명] 구, 구체"
742,inherit,"[동] 상속받다, 물려받다"
743,disgrace,"[명] 불명예, 수치"
744,crawl,"[동] 기어가다, 서행하다[명] 기어가기, 서행"
745,scratch,"[동] 긁다, 할퀴다[명] 긁힌 자국, 찰과상"
746,diabetes,[명] 당뇨병
747,congestion,"[명] 혼잡, 밀집"
748,constitute,"[동] 구성하다, 설립하다, 제정하다"
749,flow,[명] 흐름[동] 흐르다
750,investigate,"[동] 조사하다, 수사하다"
751,barter,"[명] 물물 교환, 교역품[동] 물물 교환하다"
752,circular,"[형] 원의, 순환의"
753,chilly,"[형] 쌀쌀한, 냉담한"
754,ancestor,"[명] 조상, 선조"
755,fierce,"[형] 사나운, 맹렬한"
756,vague,"[형] 희미한, 막연한, 모호한"
757,rough,"[형] 거친, 난폭한, 대강의"
758,content,"[명] 내용, 목차[형] 만족하는"
759,obstacle,"[명] 장애물, 방해가 되는 것"
760,editorial,"[형] 편집자의[명] 사설, 논설"
761,abolish,[동] 폐지하다
762,assure,"[동] 확실하게 하다, 보증하다"
763,form,"[명] 형태, 종류[동] 형성하다"
764,gender,"[명] 성, 성별"
765,innovation,[명] 혁신
766,opponent,"[명] 상대, 반대자[형] 반대하는"
767,present,"[형] 현재의[명] 현재, 선물[동] 제출하다 나타내다"
768,fertile,"[형] 비옥한, 기름진"
769,emperor,[명] 황제
770,dwell,"[동] 거주하다, 살다"
771,chore,"[명] 허드렛일, 집안일"
772,rehearsal,"[명] 리허설, 예행연습"
773,fossil,[명] 화석
774,glitter,동사 반짝이다명사 반짝임
775,carve,"[동] 새기다, 조각하다"
776,decay,"[동] 부패하다, 쇠퇴하다[명] 부패, 쇠퇴"
777,protein,[명] 단백질
778,backward,[부] 뒤쪽으로 후방에 거꾸로
779,translate,"[동] 번역하다, 옮기다"
780,refresh,"[동] 상쾌하게 하다, 새롭게 하다"
781,tissue,[명] (생물) 조직
782,lord,[명] 군주
783,substitute,"[동] 대체하다[명] 대리자, 대체물"
784,scan,"[동] 정밀 검사하다, 유심히 쳐다보다"
785,pottery,"[명] 도자기, 도예"
786,layer,"[명] 층, 겹"
787,property,"[명] 재산, 소유물 , 부동산"
788,justify,[동] 정당화하다
789,polish,"[동] 닦다, 윤을 내다, (문장 등을)다듬다"
790,flavor,[명] 맛동사 맛을 내다
791,imprint,"[동] 찍다 감명시키다명사 찍은 자국, 인상"
792,heritage,"[명] 유산, 세습 재산"
793,strive,"[동] 노력하다, 애쓰다 , 투쟁하다"
794,radiant,"[형] 빛나는, 아주 밝은"
795,exclaim,[동] (감탄하며)외치다
796,asset,"[명] 자산, 재산"
797,portray,"[동] 묘사하다, 설명하다, 초상을 그리다"
798,administer,"[동] 관리•운영하다, 집행하다, 주다"
799,wage,[명] 급료
800,subscribe,[동] 정기 구독하다
801,architecture,"[명] 건축학, 건축 양식"
802,territory,"[명] 영토, 영역"
803,strategy,"[명] 전략, 계획"
804,hence,"[부] 그러므로, 향후"
805,panic,"[형] 당황한
[명] 공황"
806,wilderness,[명] 황무지
807,attract,"[동] 끌다, 매혹하다"
808,category,"[명] 부류, 종류"
809,murder,"[동] 죽이다
[명] 살인"
810,funeral,"[명] 장례식
[형] 장례의"
811,humiliation,"[명] 창피 줌, 굴욕"
812,ban,"[동] 금지하다
[명] 금지"
813,flush,"[동] 물로 씻어내리다, (얼굴이) 붉어지다
[명] 물로 씻어냄, 홍조"
814,omit,[동] ~을 생략하다
815,outcome,[명] 결과
816,despair,"[명] 절망
[동] 절망하다"
817,alert,"[형] 조심하는
[동] 경고하다
[명] 경계"
818,compact,"[형] 아담한, 빽빽한
[명] 계약, 협정"
819,likewise,[부] 마찬가지로
820,astonish,[동] 깜짝 놀라게 하다
821,optimistic,[형] 낙천적인
822,loyal,[형] 충성스러운
823,humid,[형] 습한
824,pretend,[동] ~인 척하다
825,graduate,"[동] 졸업하다
[명] 졸업생"
826,delicate,"[형] 연약한, 섬세한, 미묘한"
827,inflate,"[동] 부풀리다, 과장하다, (가격을) 올리다"
828,adequate,[형] 적절한
829,physician,[명] 의사
830,joint,"[명] 관절
[형] 공동의"
831,via,"[전] ~을 경유해서, ~을 매개로 하여"
832,passage,"[명] 통로, (책의) 구절"
833,prefer,[동] ~을 좋아하다
834,vessel,"[명] 선박, 용기"
835,restore,[동] 이전상태로 회복시키다
836,passive,"[형] 소극적인,수동적인"
837,experience,"[명] 경험
[동] 경험하다"
838,marble,[명] 대리석
839,classify,[동] 분류하다
840,fundamental,"[형] 근본적인, 필수의"
841,majesty,"[명] 위엄, 장엄, 왕(M-)"
842,intimate,"[형] 친밀한, 친숙한"
843,merit,"[명] 장점, 가치"
844,launch,"[동] 시작하다, 출시하다
[명] 발사, 출시"
845,conference,[명] 회의
846,reception,"[명] 접수처, 환영연회"
847,shrug,"[동] 어깨를 으쓱하다
[명] 어깨를 으쓱하기"
848,vicious,"[형] 악랄한, 타락한"
849,cherish,[동] 소중히 하다
850,accuse,"[동] 고발하다, 비난하다"
851,eternal,[형] 영원한
852,shrink,"[동] 줄어들다, 피하다"
853,colleague,[명] 동료
854,transmit,"[동] 보내다, 전염시키다, 전도하다"
855,copper,"[명] 구리
[형] 구리의, 구릿빛의"
856,orbit,"[명] 궤도
[동] 궤도를 그리며 돌다"
857,overwhelm,"[동] 압도하다, 당황하게 하다"
858,discard,"[동] 폐기하다, 버리다, 처분하다"
859,famine,"[명] 기근, 굶주림, 기아"
860,pill,[명] 알약
861,enhance,[동] 강화하다
862,immune,"[형] 면역의, 면역성이 있는"
863,superior,"[형] 뛰어난, 눈에 띄는"
864,string,"[명] 끈
[동] 끈을 달다"
865,cope,[동] 대처하다
866,raw,"[형] 날것의, 가공하지 않은"
867,apply,"[동] 지원하다, 적용되다"
868,cattle,[명] 소
869,loan,"[동] 빌려주다
[명] 대여, 융자금"
870,obedient,"[형] 유순한, 순종하는"
871,procedure,"[명] 절차, 수술"
872,bond,"[명] 유대, 속박
[동] 유대를 맺다"
873,angle,"[명] 각도, 각
[동] 비스듬히 움직이다"
874,subtle,"[형] 미묘한, 교묘한, 예민한"
875,depict,"[동] 묘사하다, 그리다"
876,radical,"[형] 근본적인, 급진적인"
877,therapy,[명] 치료법
878,caution,"[명] 조심, 경고
[동] 경고하다"
879,persist,"[동] 고집하다, 지속하다"
880,reverse,"[동] 뒤집다, 후진하다
[형] 반대의
[명] 반대, 후진"
881,support,"[명] 떠받치, 지지
[동] 지지하다, 후원하다"
882,mammal,[명] 포유동물
883,iceberg,[명] 빙산
884,monetary,[형] 화폐의
885,revise,"[동] 개정하다, 수정하다"
886,resent,"[동] 분개하다, 화를 내다"
887,superb,[형] 매우 뛰어난
888,abrupt,"[형] 갑작스런, 퉁명스러운"
889,diverse,[형] 다양한
890,internal,"[형] 내부의, 체내의"
891,gloom,"[명] 우울, 어둠"
892,refine,"[동] 개선하다, 정제하다"
893,dynamic,"[형] 역동적인, 활발한"
894,nerve,[명] 신경
895,prompt,"[형] 신속한, 즉각적인
[동] 촉발하다, 자극하다"
896,suspend,"[동] 일시 중지하다, 보류하다, 정직(정학)시키다"
897,control,"[동] 통제하다, 지배하다
[명] 통제, 지배"
898,distraction,[명] 집중을 방해하는 것
899,collapse,"[동] 무너지다, (가격이) 폭락하다"
900,monologue,[명] 독백
901,martial,"[형] 군대의, 전쟁의"
902,deliberate,"[형] 고의의, 신중한"
903,trigger,"[동] 작동시키다, 촉발시키다
[명] 방아쇠, 계기"
904,plot,"[명] 줄거리, 음모
[동] 음모를 꾸미다"
905,rod,"[명] 막대, 낚싯대"
906,Atlantic,"[명] 대서양
[형] 대서양의"
907,industry,[명] 산업
908,weird,"[형] 이상한, 괴상한"
909,suggest,"[동] 제안하다, 암시하다"
910,partial,"[형] 부분적인, 편파적인"
911,priceless,[형] 대단히 소중한
912,mutual,"[형] 상호 간의, 공동의"
913,fate,[명] 운명
914,booth,[명] 작은 공간
915,pursue,[동] 추구하다
916,prescribe,"[동] 처방하다, 규정하다"
917,erupt,[동] (화산이) 폭발하다
918,insult,"[동] 모욕하다
[명] 모욕, 모욕적인 말"
919,gaze,"[동] 응시하다
[명] 응시"
920,supreme,"[명] 최고
[형] 최고의"
921,transaction,"[명] 거래, 매매"
922,sufficient,[형] 충분한
923,stable,"[형] 안정된
[명] 마구간"
924,sympathy,"[명] 연민, 동의"
925,by-product,[명] 부산물
926,edible,[형] 먹을 수 있는
927,federal,"[형] 연방의, 연방 정부의"
928,bud,"[명] 싹, 봉오리, 친구"
929,trivial,[형] 사소한
930,anxiety,"[명] 걱정, 불안, 열망"
931,tablet,[명] 알약
932,prepare,[동] 준비하다
933,trade,"[명] 무역하다, 교환하다"
934,liquid,"[명] 액체
[형] 액체의, 유동적의"
935,contend,"[동] 싸우다, 주장하다"
936,outlook,"[명] 전망, 경치, 견해"
937,roam,"[동] 배회하다, 돌아다니다"
938,decent,"[형] 괜찮은, 예의 바른, 적절한"
939,concern,"[명] 걱정, 관심
[동] 걱정하다, 관심을 갖다"
940,behalf,"[명] 측, 편, 이익"
941,suffer,"[동] 고통 받다, 겪다"
942,distortion,"[명] 왜곡, 찌그러뜨림"
943,infinite,[형] 무한한
944,anticipate,"[동] 예상하다, 기대하다"
945,symbolic,[형] 상징적인
946,municipal,[형] 지방 자치제의
947,phenomenon,[명] 현상
948,devote,"[동] (시간, 노력)쏟다"
949,peasant,[명] 소작농
950,tenant,[명] 세입자
951,worthwhile,[형] 가치있는
952,pavement,[명] 포장도로
953,dioxide,[명] (화학)이산화물
954,diminish,"[동] 줄이다, 약화시키다"
955,jealous,"[형] 질투하는, 시기하는"
956,limp,"[형] 기운이 없는, 축 처진"
957,exclude,"[동] 제외하다, 차단하다"
958,flexible,"[형] 융통성 있는, 잘 구부러지는"
959,nominate,[동] 지명하다
960,sacred,"[형] 성스러운, 종교적인"
961,context,[명] 맥락
962,complete,[형] 완벽한[동] 완료하다
963,race,"[명] 경주, 인종[동] 경주하다"
964,dominate,[동] 지배하다
965,vehicle,[명] 탈것
966,complain,[동] 불평하다
967,brochure,[명] 브로셔
968,force,[명] 힘[동] 강요하다
969,nest,[명] 둥지
970,gain,[동] 얻다
971,curriculum,[명] 교육 과정
972,sew,[동] 바느질하다
973,masculine,[형] 남자의
974,frown,[동] 눈살을 찌푸리다[명] 찡그린 얼굴
975,astound,놀라게 하다
976,dictator,[명] 독재자
977,assessment,[명] 평가
978,crucial,"[형] 중대한, 결정적인"
979,paralysis,[명] 마비
980,deck,[명] (배의) 갑판
981,cheer,[명] 환호[동] 환호하다
982,miserable,[형] 비참한
983,tease,[동] 괴롭히다
984,aggressive,[형] 공격적인
985,cure,[동] 치료하다[명] 치료
986,attribute,[동] ~의 결과로 여기다[명] 속성
987,foster,[동] 육성하다
988,phychologist,심리학자
989,postpone,[동] 연기하다
990,rob,"[동] 강탈하다, 훔치다"
991,abuse,"[동] 남용하다, 학대하다[명] 남용, 학대"
992,unemployed,[형] 실업의
993,breakdown,"[명] 고장, 쇠약"
994,disguise,"[동] 숨기다, 변장"
995,blueprint,[명] 청사진
996,rear,[형] 뒤의[명] 뒤[동] 기르다
997,output,[명] 생산량
998,sermon,[명] 설교
999,sprout,[동] 싹이 트다. 싹
1000,tin,"[명] 주석, 양철"
1001,reform,"[동] 개혁하다[명] 개혁,"
1002,deal,[동] 다루다[명] 거래
1003,recruit,[동] 모집하다[명] 신병
1004,maintain,[동] 유지하다
1005,workshop,"[명] 작업장, 워크숍"
1006,patient,[명] 환자
1007,convention,"[명] 총회, 관습"
1008,devastate,[동] 황폐시키다
1009,reap,[동] 수확하다
1010,overlook,"[동] 간과하다, 내려다보다"
1011,deliver,"[동] 배달하다, (연설을)하다"
1012,reject,"[동] 거부하다, 거절하다"
1013,nourish,"[동] 영양분을 주다, 기르다"
1014,bay,[명] 만
1015,stun,[동] 놀라게 하다
1016,particular,[형] 특정한
1017,bulletin,[명] 게시(물)
1018,fluid,[형] 유동성의[명] 유동체
1019,affair,"[명] 일, 사건"
1020,dawn,"[명] 새벽, 시작[동] 날이 새다"
1021,hostile,[형] 적대적인
1022,characteristic,[명] 특징
1023,respect,"[동] 존경하다, (법 등을) 준수하다[명] 존경, 측면"
1024,await,[동] 기다리다
1025,concrete,[형] 구체적인
1026,lease,[동] 임대하다[명] 임대차 계약
1027,racial,[형] 인종의
1028,variable,"[형] 변수. 변하기 쉬운, 변덕스러운"
1029,satisfy,[동] 만족시키다
1030,rule,"[명] 규칙, 지배[동] 지배하다"
1031,perseverance,인내심
1032,fatal,[형] 치명적인
1033,remove,"[동] 제거하다, 치우다"
1034,invert,거꾸로 하다
1035,tension,[명] 긴장
1036,reign,"[명] 통치, 지배"
1037,crack,[명] 금이 가다[명] (갈라진 틈
1038,startle,[동] 깜짝 놀라게 하다
1039,discourage,"[동] 낙담시키다, 말리다"
1040,compensate,[동] 보상하다
1041,convert,"[동] 전환시키다, 바꾸다"
1042,strike,[동] 치다
1043,suppress,"[동] 억압하다, 참다"
1044,core,[명] 핵심(의)
1045,contribute,[동] 공헌하다
1046,spear,[명] 창
1047,renowned,[형] 명성 있는
1048,era,[명] 시대
1049,withdraw,[동] 인출하다
1050,immigrate,[동] 이주하다
1051,dignity,[명] 존엄
1052,notify,"[동] 통보하다, 알리다"
1053,animate,살아 있는
1054,prevent,"[동] 예방하다, 막다"
1055,bilingual,[형] 2개 국어의
1056,mischief,"장난, 해악"
1057,discriminate,"[동] 차별하다, 구별하다"
1058,exemplify,[동] 예시하다
1059,adhere,[동] 고수하다
1060,judge,[동] 판단하다
1061,peculiar,[형] 독특한
1062,sake,"[명] 위함, 목적"
1063,choke,[동] 질식시키다
1064,folktale,"민간 설화, 전설"
1065,simultaneously,[부] 동시에
1066,range,[명] 범위
1067,groom,신랑
1068,supernatural,[형] 초자연적인
1069,tender,[형] 부드러운
1070,instinct,[명] 본능
1071,gigantic,[형] 거대한
1072,meditate,명상하다
1073,mow,[동] (풀을) 베다
1074,evolve,"[동] 진화하다, 발전하다"
1075,chase,"[동] 추격하다, 쫓다"
1076,afflict,[동] 괴롭히다
1077,literate,읽고 쓸 수 있는
1078,coherent,"[형] 통일성 있는, 조리 있는"
1079,intolerable,참을 수 없는
1080,fountain,[명] 분수
1081,bold,"[형] 대담한, 선이 굵은"
1082,compliment,[동] 칭찬하다[명] 칭찬
1083,summit,[명] 정상
1084,troop,"[명] 무리, 군대"
1085,alter,"[동] 바꾸다, 변경하다"
1086,conceive,[동] 생각해 내다
1087,durability,내구성
1088,destroy,[동] 파괴하다
1089,shallow,"[형] 얕은, 피상적인"
1090,face,"[명] 얼굴, 표면[동] 직면하다"
1091,promote,[동] 승진시키다
1092,weep,[동] 울다
1093,grasp,[동] 붙잡다
1094,overall,"[형] 전반적인, 전체의"
1095,superstition,[명] 미신
1096,colony,[명] 식민지
1097,absurd,"[형] 불합리한, 우스꽝스러운"
1098,dormitory,[명] 기숙사
1099,conduct,[동] 수행하다[명] 행위
1100,prone,[형] ~하는 경향이 있는
1101,conceal,[동] 숨기다
1102,retreat,[동] 후퇴하다[명] 후퇴
1103,compulsive,"강제적인, 강박의"
1104,clinic,"[명] 전문 병원, 개인 병원"
1105,banner,[명] 현수막
1106,formulate,"[동] 만들어내다, 공식화하다"
1107,vow,[명] 맹세(하다)
1108,malnutrition,영양실조
1109,relate,[동] 관련시키다
1110,undergo,[동] 겪다
1111,boast,[동] 자랑하다
1112,neutral,[형] 중립의
1113,stain,[명] 얼룩
1114,incentive,"[명] 장려책, 자극"
1115,float,"[동] 뜨다, 떠다니다"
1116,tendency,[명] 경향
1117,applause,[명] 박수갈채
1118,wrestle,"[동] 싸우다, 씨름하다"
1119,sensation,"[명] 감각, 느낌"
1120,Confucian,"공자의, 유교의"
1121,diameter,[명] 지름
1122,ultrasound,[명] 초음파
1123,propriety,"[명] 적절성, 예의바름"
1124,anecdote,[명] 일화
1125,shrub,[명] 관목
1126,pledge,"[명] 서약, 담보
[동] 서약하다"
1127,cost,"[명] 가격, 비용
[동] (가격, 비용이) 들다"
1128,geology,[명] 지질학
1129,detect,"[동] 찾아내다, 감지하다"
1130,temperate,"[형] 절제하는, (기후가) 온화한"
1131,soar,"[동] 급등하다, 날아오르다"
1132,mock,"[동] 놀리다, 조롱하다
[형] 가짜의, 모조의"
1133,disclose,"[동] 폭로하다, 드러내다"
1134,exhibit,"[동] 전시하다
[명] 전시품"
1135,symptom,"[명] 증상, 증후"
1136,manage,"[동] 경영하다, 관리하다, 간신히 해내다"
1137,awkward,"[형] 어색한, 서투른, 다루기 힘든"
1138,grind,[동] 갈다
1139,expose,"[동] 노출시키다, 폭로하다"
1140,closet,[명] 벽장
1141,damp,[형] 축축한
1142,script,[명] 대본
1143,possibility,"[명] 가능성, 기회"
1144,fad,[명] (일시적인) 유행
1145,sibling,"[명] 형제, 자매"
1146,linger,"[동] 남아 있다, 어슬렁거리다"
1147,flourish,"[동] 번성하다, 건강하다"
1148,discharge,"[동] 해고하다, 방출하다, 방면하다
[명] 해고, 방출, 면제"
1149,thorough,[형] 철저한
1150,undertake,"[동] 착수하다, 약속하다"
1151,cord,"[명] 끈, 전기코드, (직물)코르덴 천
[형] 코르덴 천으로 만들어진"
1152,linguistic,"[형] 언어의, 언어학의"
1153,remedy,[명] 치료
1154,sole,"[형] 유일한, 단독의"
1155,sophomore,"[명] (고교, 대학의) 2학년생"
1156,panel,[명] 판
1157,suitor,"[명] 소송인, 구혼자"
1158,pillar,[명] 기둥
1159,explode,[동] 폭발하다
1160,illusion,"[명] 착각, 환각"
1161,draft,"[명] 초고, 초안
[동] 초안을 그리다"
1162,crude,"[형] 조잡한, 있는 그대로의"
1163,supplement,"[동] 보완하다
[명] 보완, 보충"
1164,velocity,[명] 속도
1165,tame,"[동] 길들이다
[형] 길들여진"
1166,molecule,[명] 분자
1167,reed,"[명] 갈대
[형] 갈대의"
1168,dismay,"[명] 실망
[동] 크게 실망시키다"
1169,diagnose,[동] 진단하다
1170,versus,[전] ~와 대비하여
1171,reservoir,[명] 저수지
1172,conform,"[동] 따르다, 순응하다"
1173,spacious,"[형] 넓은, 훤히 트인"
1174,weave,"[동] (천을) 짜다
[명] 짜기"
1175,ceremony,"[명] 의식, 식"
1176,motive,"[명] 동기, 이유"
1177,prominent,[형] 두드러진
1178,archaeology,[명] 고고학
1179,rigid,"[형] 엄격한, 굳은"
1180,inferior,"[형] 열등한, 질 낮은"
1181,subtract,[동] 빼다
1182,impulse,"[명] 충동, 욕구, 추진력"
1183,utmost,"[형] 최대한의 
[명] 최대한도"
1184,proficient,[형] 숙달된
1185,accumulate,"[동] 모으다, 축적하다"
1186,navigate,"[동] 길을 찾다, 항해하다"
1187,equity,"[명] 자기자본, 공평"
1188,violate,"[동] 위반하다, 침해하다"
1189,ambitious,[형] 야망을 가진
1190,intact,"[형] 온전한, 손상되지 않은"
1191,plea,"[명] 애원, 탄원"
1192,attend,"[동] 참석하다, 유의하다, 돌보다"
1193,trim,"[동] 다듬다
[형] 잘 정돈된
[명] 정돈"
1194,embody,"[동] 구체화하다, 포함하다"
1195,characteristic,"[명] 특징, 특성
[형] 특유의"
1196,consist,[동] ~로 구성되다
1197,boundary,"[명] 경계, 한계"
1198,attack,"[동] 공격하다
[명] 공격"
1199,confine,"[동] 제한하다, 가두다"
1200,dispatch,"[명] 급파, 발송
[동] 파견하다, 발송하다"
1201,regret,[동] 후회하다[명] 후회
1202,coffin,[명] 관
1203,divine,[형] 신성한
1204,revenue,[명] 수익
1205,corrupt,"[형] 부패한, 타락한[동] 부패하다, 타락하다"
1206,probe,"[동] 조사하다, 연구하다[명] 조사"
1207,factual,[형] 실제의
1208,swamp,"[명] 늪, 습지"
1209,expedition,[명] 탐험
1210,abnormal,"[형] 이상한, 비정상의"
1211,storage,"[명] 저장소, 저장"
1212,revive,[동] 되살아나다
1213,stool,[명] (등받이 없는) 의자
1214,hinder,[동] 방해하다
1215,flattery,[명] 아첨
1216,virtue,[명] 미덕
1217,deadline,"[명] 기한, 마감시간"
1218,equator,n.적도
1219,cognitive,[형] 인식의
1220,motion,"[명] 운동, 동작[동] 동작을 해 보이다"
1221,humble,"[형] 겸손한, 비천한"
1222,bounce,"[동] 튀어 오르다, 깡충깡충 뛰다, (공이) 튀다"
1223,imprison,[동] 투옥하다
1224,enlist,[동]모집하다
1225,hygiene,"[명] 위생, 위생학"
1226,upcoming,[형] 다가오는
1227,trace,"[명] 자취, 흔적[동] 추적하다, 밝혀내다"
1228,pulse,[명] 맥박
1229,controversy,"[명] 논쟁, 언쟁, 논란"
1230,locate,"[동] (장소를) 찾아내다, -에 위치하다"
1231,patent,[명] 특허[형] 특허를 받은[동] 특허권을 얻다
1232,lyric,n.가사
1233,convenience,"[명] 편의, 편리, 편의시설"
1234,rush,"[동] 돌진하다, 급하게 가다[명] 돌진, 혼잡"
1235,carbon,[명] 탄소
1236,contaminate,"[동] 오염시키다, 더럽히다"
1237,external,[형] 외부의
1238,herd,"[명] 떼, 무리[동] 떼를 짓다"
1239,allocate,"[동] 할당하다, 배분하다"
1240,gorgeous,"[형] 아주 멋진, 화려한"
1241,confess,[동] 고백하다
1242,subjective,[형] 주관적인
1243,hell,[명] 지옥
1244,acknowledge,[동] 인정하다
1245,accord,"[동] 일치하다, 조화하다[명] 일치, 합의"
1246,immense,[형] 엄청난
1247,extract,"[동] 추출하다, [명] 추출물"
1248,sewage,"[명] 하수, 오물"
1249,reconciliation,[명] 화해
1250,amid,[전] ~의 한가운데
1251,warrant,"[명] 보증서, 영장, 정당한 이유"
1252,complement,[동] 보완하다
1253,ceramic,"[명] 도자기, 요업"
1254,license,"[명] 면허, 인가[동] 면허를 주다, 허가하다"
1255,emerge,[동] 나타나다
1256,halt,"[동] 정지시키다[명] 정지, 멈춤"
1257,ivory,"[명] 상아, 상아색"
1258,ponder,"[동] 곰곰이 생각하다, 심사숙고하다"
1259,lottery,"[명] 복권, 추첨"
1260,stroke,"[명] 타격, 뇌졸증"
1261,burglar,[명] 강도
1262,blame,"[동] 비난하다, ~을 탓하다[명] 비난"
1263,transplant,[동]  이식하다
1264,cluster,[명] 무리
1265,borrow,[동] 빌리다
1266,derive,"[동] 끌어내다, ~에서 비롯되다"
1267,plague,[명] 전염병[동] 괴롭히다
1268,certificate,[명] 증명서
1269,deluxe,호화로운
